ID,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
43,Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,72,76,-6,23,47,210,2,8,68
44,Lemon,N.E.R.D,hip hop,2018,95,73,92,-7,12,20,220,0,9,68
45,For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,54,-5,42,18,243,2,3,67
46,Want To,Dua Lipa,dance pop,2018,92,69,57,-5,6,32,212,8,12,67
47,What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,79,63,-4,16,41,220,5,6,67
48,Wait,Maroon 5,pop,2018,126,60,66,-5,11,45,191,10,6,67
49,What About Us,P!nk,dance pop,2018,114,59,39,-6,9,19,272,3,6,66
50,Kissing Strangers,DNCE,dance pop,2018,120,74,77,-6,9,86,202,5,4,66
51,2U (feat. Justin Bieber),David Guetta,dance pop,2018,145,61,53,-7,23,53,195,23,6,65
52,Walk On Water (feat. Beyoncé),Eminem,detroit hip hop,2018,82,44,48,-10,64,62,304,81,24,65
53,This Town,Niall Horan,dance pop,2018,112,41,68,-8,12,20,233,70,3,64
54,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,69,73,-4,10,42,221,2,5,64
55,MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,87,76,-4,7,90,169,3,5,64
56,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,64,75,-5,11,45,186,25,9,64
57,Filthy,Justin Timberlake,dance pop,2018,97,58,75,-6,25,65,294,4,14,62
58,Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,69,63,-4,12,25,227,16,9,57
59,Ferrari,Bebe Rexha,dance pop,2018,77,48,58,-6,10,42,213,2,3,57
60,Supplies,Justin Timberlake,dance pop,2018,120,55,79,-7,13,23,226,1,5,57
61,Boom Boom,RedOne,moroccan pop,2018,110,76,75,-8,20,58,248,0,5,53
62,...Ready For It? - BloodPop® Remix,Taylor Swift,pop,2018,160,84,58,-5,10,50,190,13,22,52
63,Drip (feat. Migos),Cardi B,pop,2018,130,59,97,-8,8,27,264,5,26,45
64,Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,58,-5,9,76,182,5,8,44
