id,DATE,IPG2211A2N
21,2005-01-03,98.9565
21,2005-01-04,86.4776
21,2005-01-05,87.2234
21,2005-01-06,99.5076
21,2005-01-07,108.3501
21,2005-01-08,109.4862
21,2005-01-09,99.1155
21,2005-01-10,89.7567
21,2005-01-11,90.4587
21,2005-01-12,108.2257
22,2006-01-01,104.4724
22,2006-01-02,101.5196
22,2006-01-03,98.4017
22,2006-01-04,87.5093
22,2006-01-05,90.0222
22,2006-01-06,100.5244
22,2006-01-07,110.9503
22,2006-01-08,111.5192
22,2006-01-09,95.7632
22,2006-01-10,90.3738
22,2006-01-11,92.3566
22,2006-01-12,103.066
23,2007-01-01,112.0576
23,2007-01-02,111.8399
23,2007-01-03,99.1925
23,2007-01-04,90.8177
23,2007-01-05,92.0587
23,2007-01-06,100.9676
23,2007-01-07,107.5686
23,2007-01-08,114.1036
23,2007-01-09,101.5316
23,2007-01-10,93.0068
23,2007-01-11,93.9126
23,2007-01-12,106.7528
24,2008-01-01,114.8331
24,2008-01-02,108.2353
24,2008-01-03,100.4386
24,2008-01-04,90.9944
24,2008-01-05,91.2348
24,2008-01-06,103.9581
24,2008-01-07,110.7631
24,2008-01-08,107.5665
24,2008-01-09,97.7183
24,2008-01-10,90.9979
24,2008-01-11,93.8057
24,2008-01-12,109.4221
25,2009-01-01,116.8316
25,2009-01-02,104.4202
25,2009-01-03,97.8529
25,2009-01-04,88.1973
25,2009-01-05,87.5366
25,2009-01-06,97.2387
25,2009-01-07,103.9086
25,2009-01-08,105.7486
25,2009-01-09,94.8823
25,2009-01-10,89.2977
25,2009-01-11,89.3585
25,2009-01-12,110.6844
26,2010-01-01,119.0166
26,2010-01-02,110.533
26,2010-01-03,98.2672
26,2010-01-04,86.3
26,2010-01-05,90.8364
26,2010-01-06,104.3538
26,2010-01-07,112.8066
26,2010-01-08,112.9014
26,2010-01-09,100.1209
26,2010-01-10,88.9251
26,2010-01-11,92.775
26,2010-01-12,114.3266
27,2011-01-01,119.488
27,2011-01-02,107.3753
27,2011-01-03,99.1028
27,2011-01-04,89.3583
27,2011-01-05,90.0698
27,2011-01-06,102.8204
27,2011-01-07,114.7068
27,2011-01-08,113.5958
27,2011-01-09,99.4712
27,2011-01-10,90.3566
27,2011-01-11,93.8095
27,2011-01-12,107.3312
28,2012-01-01,111.9646
28,2012-01-02,103.3679
28,2012-01-03,93.5772
28,2012-01-04,87.5566
28,2012-01-05,92.7603
28,2012-01-06,101.14
28,2012-01-07,113.0357
28,2012-01-08,109.8601
28,2012-01-09,96.7431
28,2012-01-10,90.3805
28,2012-01-11,94.3417
28,2012-01-12,105.2722
29,2013-01-01,115.501
29,2013-01-02,106.734
29,2013-01-03,102.9948
29,2013-01-04,91.0092
29,2013-01-05,90.9634
29,2013-01-06,100.6957
29,2013-01-07,110.148
29,2013-01-08,108.1756
29,2013-01-09,99.2809
29,2013-01-10,91.7871
29,2013-01-11,97.2853
29,2013-01-12,113.4732
30,2014-01-01,124.2549
30,2014-01-02,112.8811
30,2014-01-03,104.7631
30,2014-01-04,90.2867
30,2014-01-05,92.134
30,2014-01-06,101.878
30,2014-01-07,108.5497
30,2014-01-08,108.194
30,2014-01-09,100.4172
30,2014-01-10,92.3837
30,2014-01-11,99.7033
30,2014-01-12,109.3477
31,2015-01-01,120.2696
31,2015-01-02,116.3788
31,2015-01-03,104.4706
31,2015-01-04,89.7461
31,2015-01-05,91.093
31,2015-01-06,102.6495
31,2015-01-07,111.6354
31,2015-01-08,110.5925
31,2015-01-09,101.9204
31,2015-01-10,91.5959
31,2015-01-11,93.0628
31,2015-01-12,103.2203
32,2016-01-01,117.0837
32,2016-01-02,106.6688
32,2016-01-03,95.3548
32,2016-01-04,89.3254
32,2016-01-05,90.7369
32,2016-01-06,104.0375
32,2016-01-07,114.5397
32,2016-01-08,115.5159
32,2016-01-09,102.7637
32,2016-01-10,91.4867
32,2016-01-11,92.89
32,2016-01-12,112.7694
33,2017-01-01,114.8505
33,2017-01-02,99.4901
33,2017-01-03,101.0396
33,2017-01-04,88.353
33,2017-01-05,92.0805
33,2017-01-06,102.1532
33,2017-01-07,112.1538
33,2017-01-08,108.9312
33,2017-01-09,98.6154
33,2017-01-10,93.6137
33,2017-01-11,97.3359
33,2017-01-12,114.7212
34,2018-01-01,129.4048
